2026-05-21T08:00:41.979+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:00:41.980+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0.10 | STATUS=HIT | MSG=block_end
2026-05-21T08:00:42.034+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=get_pokemon | LEVEL=INFO | LATENCY_MS=54.30 | STATUS=200 | MSG=cache_hit name=psyduck
2026-05-21T08:01:56.426+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:01:56.426+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0.10 | STATUS=HIT | MSG=block_end
2026-05-21T08:01:56.512+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=get_pokemon | LEVEL=INFO | LATENCY_MS=85.80 | STATUS=200 | MSG=cache_hit name=jigglypuff
2026-05-21T08:02:00.053+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:02:00.053+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0.10 | STATUS=HIT | MSG=block_end
2026-05-21T08:02:00.104+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=get_pokemon | LEVEL=INFO | LATENCY_MS=50.39 | STATUS=200 | MSG=cache_hit name=jigglypuff
2026-05-21T08:03:25.681+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:03:25.681+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0.10 | STATUS=HIT | MSG=block_end
2026-05-21T08:03:25.738+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=get_pokemon | LEVEL=INFO | LATENCY_MS=57.81 | STATUS=200 | MSG=cache_hit name=raichu
2026-05-21T08:03:37.122+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:03:37.122+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0.10 | STATUS=HIT | MSG=block_end
2026-05-21T08:03:37.211+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=get_pokemon | LEVEL=INFO | LATENCY_MS=88.97 | STATUS=200 | MSG=cache_hit name=pikachu
2026-05-21T08:03:45.545+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:03:45.545+00:00 | MODULE=POKE_API | API=/pokemon/{name} | FUNC=cache_lookup | LEVEL=INFO | LATENCY_MS=0.10 | STATUS=HIT | MSG=block_end
