2026-05-21T08:00:45.715+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3736.04 | STATUS=200 | MSG=name=psyduck
2026-05-21T08:01:59.487+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3060.92 | STATUS=200 | MSG=name=jigglypuff
2026-05-21T08:02:03.227+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3173.45 | STATUS=200 | MSG=name=jigglypuff
2026-05-21T08:03:29.155+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3474.12 | STATUS=200 | MSG=name=raichu
2026-05-21T08:03:40.388+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3266.55 | STATUS=200 | MSG=name=pikachu
2026-05-21T08:03:48.461+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2916.08 | STATUS=200 | MSG=name=squirtle
2026-05-21T08:05:27.493+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=1794.37 | STATUS=200 | MSG=name=charizard
2026-05-21T08:05:30.920+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3118.29 | STATUS=200 | MSG=name=bulbasaur
2026-05-21T08:05:42.639+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2472.60 | STATUS=200 | MSG=name=mewtwo
2026-05-21T08:06:04.371+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=ERROR | LATENCY_MS=1962.38 | STATUS=500 | MSG=name=psyduck
2026-05-21T08:06:16.552+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2157.24 | STATUS=200 | MSG=name=gyarados
2026-05-21T08:06:57.244+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2038.09 | STATUS=200 | MSG=name=magikarp
2026-05-21T08:07:15.915+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2345.10 | STATUS=200 | MSG=name=jigglypuff
2026-05-21T08:07:25.680+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3064.16 | STATUS=200 | MSG=name=bulbasaur
2026-05-21T08:07:41.483+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=ERROR | LATENCY_MS=3989.83 | STATUS=500 | MSG=name=jigglypuff
2026-05-21T08:08:01.033+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=3775.34 | STATUS=200 | MSG=name=pikachu
2026-05-21T08:08:19.427+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2798.91 | STATUS=200 | MSG=name=psyduck
2026-05-21T08:08:22.151+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2063.82 | STATUS=200 | MSG=name=mewtwo
2026-05-21T08:09:11.386+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=1570.36 | STATUS=200 | MSG=name=jigglypuff
2026-05-21T08:09:43.893+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2290.14 | STATUS=200 | MSG=name=bulbasaur
2026-05-21T08:10:13.309+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2874.51 | STATUS=200 | MSG=name=snorlax
2026-05-21T08:10:15.292+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2240.50 | STATUS=200 | MSG=name=jigglypuff
2026-05-21T08:10:54.811+00:00 | MODULE=SEARCH_API | API=/poke/search | FUNC=search_pokemon | LEVEL=INFO | LATENCY_MS=2487.22 | STATUS=200 | MSG=name=squirtle
