2026-05-21T08:00:41.981+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:00:42.038+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=56.44 | STATUS=200 | MSG=stats_ok name=psyduck
2026-05-21T08:01:56.428+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:01:56.467+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=39.22 | STATUS=200 | MSG=stats_ok name=jigglypuff
2026-05-21T08:02:00.055+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:02:00.126+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=70.53 | STATUS=200 | MSG=stats_ok name=jigglypuff
2026-05-21T08:03:25.683+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:03:25.736+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=53.56 | STATUS=200 | MSG=stats_ok name=raichu
2026-05-21T08:03:37.365+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=ERROR | LATENCY_MS=240.93 | STATUS=500 | MSG=injected_db_failure name=pikachu
2026-05-21T08:03:45.547+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:03:45.587+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=39.85 | STATUS=200 | MSG=stats_ok name=squirtle
2026-05-21T08:05:25.701+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:05:25.723+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=21.76 | STATUS=200 | MSG=stats_ok name=charizard
2026-05-21T08:05:27.803+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:05:27.861+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=57.83 | STATUS=200 | MSG=stats_ok name=bulbasaur
2026-05-21T08:05:40.169+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
2026-05-21T08:05:40.195+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=get_stats | LEVEL=INFO | LATENCY_MS=25.95 | STATUS=200 | MSG=stats_ok name=mewtwo
2026-05-21T08:06:02.411+00:00 | MODULE=POKE_STATS | API=/stats/{name} | FUNC=db_query | LEVEL=INFO | LATENCY_MS=0 | STATUS=STARTED | MSG=block_start
